date,usd_jpy,source,series,retrieved
2024-01-02,142.10,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-01-08,144.52,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-01-15,145.88,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-01-22,147.80,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-01-29,147.95,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-02-05,148.63,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-02-12,148.99,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-02-19,149.95,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-02-26,150.55,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-03-04,150.49,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-03-11,146.83,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-03-18,149.20,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-03-25,151.16,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-04-02,151.65,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-04-08,151.93,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-04-15,153.95,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-04-22,154.73,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-04-29,156.28,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-05-06,153.77,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-05-13,155.86,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-05-20,155.83,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-05-27,156.85,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-06-03,156.88,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2024-06-10,156.88,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
